label,image_name,centroid_x,centroid_y,area,perimeter,circularity,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,solidity,orientation_degrees,mean_intensity,max_intensity,min_intensity,integrated_intensity,orientation,bbox-0,bbox-1,bbox-2,bbox-3,bbox_width,bbox_height,fluorescence_class,intensity_threshold
1,1 N NO 2_ch00,222.444,165.623,907.0,208.309,0.263,52.755,41.036,1.286,0.628,0.583,-33.309,119.433,255.0,14.0,108326.0,-0.581,136,199,188,241,42,52,Low,131.956
2,1 N NO 2_ch00,1058.331,163.252,1816.0,190.267,0.63,63.368,41.015,1.545,0.762,0.885,-43.768,153.908,255.0,12.0,279497.0,-0.764,139,1035,194,1091,56,55,High,131.956
3,1 N NO 2_ch00,887.108,224.214,1085.0,127.539,0.838,43.644,32.399,1.347,0.67,0.954,-50.32,146.218,255.0,0.0,158647.0,-0.878,203,867,243,908,41,40,High,131.956
4,1 N NO 2_ch00,313.777,381.008,503.0,122.225,0.423,38.292,22.297,1.717,0.813,0.76,-1.899,125.545,255.0,16.0,63149.0,-0.033,365,303,400,327,24,35,Low,131.956
5,1 N NO 2_ch00,1107.786,378.529,420.0,76.284,0.907,26.822,20.156,1.331,0.66,0.966,78.123,129.321,220.0,40.0,54315.0,1.364,369,1096,389,1122,26,20,Low,131.956
6,1 N NO 2_ch00,703.067,476.433,430.0,77.355,0.903,25.361,21.818,1.162,0.51,0.953,-72.818,198.428,255.0,0.0,85324.0,-1.271,465,691,488,716,25,23,High,131.956
7,1 N NO 2_ch00,1002.347,647.316,1073.0,153.433,0.573,47.436,33.679,1.408,0.704,0.854,-9.739,120.802,233.0,10.0,129621.0,-0.17,628,987,674,1021,34,46,Low,131.956
8,1 N NO 2_ch00,1039.133,646.28,1018.0,138.604,0.666,49.61,27.455,1.807,0.833,0.891,35.114,155.223,255.0,4.0,158017.0,0.613,626,1021,670,1057,36,44,High,131.956
9,1 N NO 2_ch00,194.076,667.961,458.0,78.426,0.936,27.289,21.422,1.274,0.619,0.964,27.326,176.832,255.0,8.0,80989.0,0.477,655,183,682,206,23,27,High,131.956
10,1 N NO 2_ch00,181.254,703.617,527.0,103.74,0.615,40.897,18.174,2.25,0.896,0.857,-60.707,110.231,197.0,40.0,58092.0,-1.06,690,163,718,197,34,28,Low,131.956
11,1 N NO 2_ch00,363.706,755.275,974.0,124.468,0.79,41.63,31.288,1.331,0.66,0.927,16.041,174.485,255.0,0.0,169948.0,0.28,732,346,775,381,35,43,High,131.956
12,1 N NO 2_ch00,895.259,761.563,483.0,93.497,0.694,29.815,22.925,1.301,0.639,0.867,-36.557,122.062,255.0,31.0,58956.0,-0.638,746,880,774,909,29,28,Low,131.956
13,1 N NO 2_ch00,753.75,795.927,248.0,58.527,0.91,22.423,14.096,1.591,0.778,0.958,-56.647,131.956,233.0,57.0,32725.0,-0.989,788,744,805,765,21,17,Low,131.956
14,1 N NO 2_ch00,29.972,842.396,856.0,130.468,0.632,42.251,28.605,1.477,0.736,0.891,51.695,164.297,255.0,6.0,140638.0,0.902,828,6,862,50,44,34,High,131.956
15,1 N NO 2_ch00,82.387,999.756,631.0,94.184,0.894,32.206,25.26,1.275,0.62,0.966,-61.932,98.886,195.0,25.0,62397.0,-1.081,988,68,1014,99,31,26,Low,131.956
